"document","topic","gamma"
"226",1,0.00413473823755756
"662",1,0.00545167933852703
"1883",1,0.000579952733286673
"1956",1,0.000248160696236528
"2001",1,2.97266900408948e-05
"6807",1,0.000412636500477211
"6838",1,0.00032980731430311
"6851",1,1.17572314913688e-06
"6865",1,0.175551134866141
"6980",1,0.000228660317829443
"7021",1,0.000586719704028572
"7050",1,0.00184762232320348
"7122",1,3.1842575899546e-05
"7169",1,3.78365829176019e-05
"7192",1,0.000393124711129087
"7200",1,0.000867995570554585
"7204",1,0.000347448692941493
"7205",1,0.00265243871977757
"7229",1,9.66326332955476e-05
"7231",1,0.000778954433969891
"7308",1,0.000290725099049879
"7313",1,9.46378015651917e-05
"7316",1,2.45899763004778e-05
"7363",1,0.000286985760760215
"7364",1,0.000120084351190832
"7377",1,0.00291275245348232
"7378",1,0.00130354751394109
"7379",1,0.000461370075864712
"7455",1,0.00105298780400371
"7570",1,0.147477545530344
"7577",1,0.000388885308712848
"7599",1,0.157622678086354
"7619",1,0.000450581885608107
"7650",1,3.89504072505625e-05
"7672",1,0.0025768335951955
"7836",1,0.000664746431779044
"7839",1,0.000848706271622473
"7876",1,0.000710463377463519
"7898",1,0.00265916442889469
"7925",1,0.000801828863742508
"7956",1,6.21371753642329e-05
"8025",1,5.33602040769422e-05
"8072",1,0.000236028152692189
"8148",1,0.00010012972345335
"8230",1,0.000275437482372424
"8242",1,0.0410236265571411
"8267",1,7.85060940583517e-05
"8277",1,7.99121177282326e-05
"8278",1,2.51262216672179e-05
"8279",1,0.00249042618823681
"8359",1,0.000199030756773197
"8367",1,0.000421992826830764
"8437",1,9.48264985252378e-06
"8474",1,0.00329391846578998
"8481",1,0.0171569298636966
"8507",1,0.000230659260907729
"8549",1,0.000287964091560655
"8596",1,0.00256980100958701
"8735",1,3.58164959250318e-05
"8837",1,0.000400661841446405
"8884",1,4.65370272618299e-05
"9055",1,0.000112314651639338
"9070",1,0.0160563430026387
"9109",1,0.000942220150623598
"9286",1,1.82937248132601e-05
"9363",1,0.00030682112375109
"9465",1,3.69136780325191e-05
"9491",1,0.000258976804251208
"9507",1,7.22335186112414e-05
"9519",1,0.00105534911904601
"9836",1,4.90754977808941e-05
"10188",1,0.000466316746312324
"10322",1,0.000762347780266686
"10407",1,4.88546877924818e-05
"10578",1,0.000420873558932581
"10674",1,0.118780816349567
"10720",1,0.000107654707323469
"10781",1,0.000146724130022475
"10798",1,0.000552008657548331
"10824",1,0.000381938017695903
"10918",1,2.595931342942e-05
"10936",1,9.88502012558878e-10
"11004",1,0.00336318561812521
"11081",1,0.454793993456547
"11119",1,5.38194537852833e-05
"11211",1,5.23811291658907e-05
"11266",1,4.03337241870389e-05
"11301",1,4.59944207357717e-05
"11316",1,0.000135821155664814
"11375",1,0.000601198910588125
"11432",1,0.00302646481562971
"11466",1,0.00343302752852225
"11506",1,6.48049300488847e-05
"11513",1,0.000422707980515777
"11523",1,0.000652535307905118
"11556",1,0.0035771831797027
"11642",1,0.00113137339550999
"11731",1,0.00722207493581961
"11738",1,0.00491771580917695
"11795",1,0.00111696880581451
"11808",1,1.24973309459241e-05
"11986",1,0.000245565077470474
"12044",1,0.0468715229486181
"12068",1,7.59700683361164e-05
"12095",1,0.00110692501648802
"12143",1,1.45099150149001e-06
"12149",1,3.40552117027842e-05
"12163",1,0.000671787514049875
"12175",1,0.0023617489690372
"12334",1,7.28255691079243e-05
"12335",1,0.000307867478689051
"12449",1,0.00722605109355845
"12622",1,0.00027202268187134
"12629",1,0.000408864950109104
"12954",1,0.00522280355591049
"12983",1,0.0010598751597961
"13124",1,9.52106286629229e-05
"13129",1,0.00813663045671979
"13154",1,6.38082310040102e-05
"13177",1,0.00137815902358862
"13180",1,0.000256368054891033
"13241",1,0.00452120417335234
"13288",1,4.0735024811988e-26
"13352",1,0.00237374877895834
"13366",1,0.000971359963627512
"13405",1,4.0605165784144e-05
"13421",1,0.000245491515814922
"13431",1,0.000145078739201909
"13467",1,0.00170718137745418
"13581",1,0.000376012866836935
