document,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21
226,.0041347384,.0023391482,.00011839812,.00019978943,.002937553,.00046468343,.0015475337,.00076462381,.00011229409,.0011088557,.0073822732,.001575419,.00022289183,.0014627518,.96797568,.00068572885,.0003171835,.0004625055,.0014821247,.000059361158,.0046464638
662,.0054516792,.0012070565,.00005706312,.003912474,.86667627,.00049249863,.10040553,.0017254293,.00080833957,.00010804883,.004343004,.0021408154,.000072185569,.0013431159,.0015778496,.0016409297,.0008258748,.0013783739,.0020126177,.00091249327,.0029083376
1883,.00057995273,.000027274255,.019594016,.59120333,.27469388,.000228109,.039057873,.0044541038,.00020804124,.00040415494,.016821975,.0090715196,.000023209441,.00038637343,.00048529627,.002428046,.00019521425,.003894432,.0029041171,.0037381609,.029600926
1956,.00024816071,.000015300091,.93869466,.0027401999,.0019068416,.0002247315,.0054749846,.0043152007,.000054827673,.00060426543,.013910672,.017425653,.00036284706,.00034674146,.00041667331,.00019525383,.00036356921,.00090616423,.00048898708,.0045810747,.0067232093
2001,.000029726691,.000011318257,.0036179479,.01643707,.42248225,.000023764855,.54084069,.0011845307,.00019378467,.000032938591,.0026675714,.005922656,.000048362675,.00012394767,.000038997652,.00015163729,.000072806732,.000077855984,.00026490513,.0056733601,.00010387977
6807,.00041263649,.00023811808,.02986878,.0058634202,.00018648717,.0030037337,.0032058819,.0056441496,.000046373752,.0022228812,.0094465576,.0013735305,.0029162229,.003789189,.0062166266,.00092942093,.00066688564,.00099805417,.9117099,.002692861,.0085683102
6838,.00032980731,.00018198619,.022957129,.0053271977,.00016933007,.0021909308,.002635268,.0058921464,.000042975218,.001691938,.0082175722,.001131276,.0024904548,.0030272589,.0037743524,.00067543861,.00060738181,.00092434743,.92726898,.0024846108,.0079795886
6851,1.1757231e-06,1.9606287e-06,.0025820464,.98177165,.0031447969,2.3818302e-06,.0017956578,.00023367687,1.2464980e-06,.000021380589,.0014505098,.00041560741,.00015798533,.0044675386,.000069994283,.000061352046,8.7463350e-06,6.2852710e-06,.0029703437,.00073392765,.0001017535
6865,.17555113,.0039718188,.019480549,.0044869757,.0058451174,.0013858365,.0027763203,.0033208407,.0027782922,.0070324531,.53738314,.020117095,.091430083,.082268536,.0091258343,.001325449,.0025970985,.003524607,.00028435679,.008850107,.016464341
6980,.00022866031,.000028451588,.019250568,.0013540934,.00030862621,.0035628998,.0050838254,.024686834,.00019233495,.00070734252,.016836427,.9024452,.0039749169,.00072155503,.0058658686,.0006795596,.00058023771,.0027650523,.0016692705,.0036596374,.005398653
7021,.00058671972,.00015592089,.010051229,.0025190401,.00020651429,.001418321,.0011962577,.95292342,.00036698073,.0047402042,.006942464,.0016069802,.0026635574,.0024369427,.0015914218,.0013280407,.0013783571,.0014856325,.0022318542,.0024441481,.0017260062
7050,.0018476223,.0021372505,.0024267191,.0056931521,.0077452115,.0023878168,.57159305,.00090927066,.0028674442,.00014486811,.017277768,.3597866,.0015156961,.0013122872,.001394117,.0045470092,.0024465837,.0025123211,.00026792628,.0055990554,.0055882381
7122,.000031842577,.000012635584,.0031528617,.0012832478,3.4433000e-07,.00046617235,.000092631431,.0016519212,.00050281611,.0043399269,.003972257,.000010896791,.00160596,.97345084,.0015307247,.0011569406,.00076159724,1.4462754e-06,.00012362996,.00035129359,.0055000265
7169,.000037836584,.000016487034,.006590174,.0014031768,.0059152716,.000018885296,.21102332,.0026710446,2.6023226e-06,.00011995353,.015544354,.74392754,.0024357049,.00091115868,.00047273995,.0014211837,.00037541427,.00011332573,.00017033382,.0042710034,.0025585119
7192,.0003931247,.0012551306,.0031166188,.0065424084,.027887512,.00068983645,.042267457,.013905748,.00022714425,.010702414,.26140657,.010333246,.017686434,.0046157488,.20047155,.0042833239,.0012182962,.065659493,.061443269,.063424408,.20247026
